Timp sistem,octeti specifici (Wh)
14:54:02.632,0000004206 Wh
14:54:03.623,0000004206 Wh
14:54:04.626,0000004206 Wh
14:54:05.617,0000004206 Wh
14:54:06.946,0000004206 Wh
14:54:07.641,0000004206 Wh
14:54:08.632,0000004206 Wh
14:54:09.640,0000004206 Wh
14:54:10.626,0000004206 Wh
14:54:11.957,0000004206 Wh
14:54:12.646,0000004206 Wh
14:54:13.636,0000004206 Wh
14:54:14.646,0000004206 Wh
14:54:15.636,0000004206 Wh
14:54:16.978,0000004206 Wh
14:54:17.651,0000004206 Wh
14:54:18.646,0000004206 Wh
14:54:19.650,0000004206 Wh
14:54:20.656,0000004206 Wh
14:54:21.991,0000004206 Wh
14:54:22.656,0000004206 Wh
14:54:23.654,0000004206 Wh
14:54:24.659,0000004206 Wh
14:54:25.668,0000004206 Wh
14:54:26.996,0000004206 Wh
14:54:27.666,0000004206 Wh
14:54:28.676,0000004207 Wh
14:54:29.668,0000004207 Wh
14:54:30.676,0000004207 Wh
14:54:31.996,0000004207 Wh
14:54:32.676,0000004207 Wh
14:54:33.677,0000004207 Wh
14:54:34.666,0000004207 Wh
14:54:35.676,0000004207 Wh
14:54:37.006,0000004207 Wh
14:54:37.680,0000004207 Wh
14:54:38.689,0000004207 Wh
14:54:39.681,0000004207 Wh
14:54:40.687,0000004207 Wh
14:54:42.016,0000004207 Wh
14:54:42.690,0000004207 Wh
14:54:43.696,0000004207 Wh
14:54:44.696,0000004207 Wh
14:54:45.696,0000004207 Wh
14:54:47.023,0000004207 Wh
14:54:47.696,0000004207 Wh
14:54:48.701,0000004207 Wh
14:54:49.706,0000004207 Wh
14:54:50.701,0000004207 Wh
14:54:52.032,0000004207 Wh
14:54:52.720,0000004207 Wh
14:54:53.711,0000004207 Wh
14:54:54.716,0000004207 Wh
14:54:55.706,0000004207 Wh
14:54:57.039,0000004207 Wh
14:54:57.726,0000004207 Wh
14:54:58.716,0000004207 Wh
14:54:59.726,0000004207 Wh
14:55:00.716,0000004207 Wh
14:55:02.046,0000004207 Wh
14:55:02.734,0000004207 Wh
14:55:03.726,0000004207 Wh
14:55:04.726,0000004207 Wh
14:55:05.726,0000004207 Wh
14:55:07.047,0000004207 Wh
14:55:07.736,0000004207 Wh
14:55:08.746,0000004207 Wh
14:55:09.738,0000004208 Wh
14:55:10.746,0000004208 Wh
14:55:12.061,0000004208 Wh
14:55:12.746,0000004208 Wh
14:55:13.737,0000004208 Wh
14:55:14.746,0000004208 Wh
14:55:15.756,0000004208 Wh
14:55:17.080,0000004208 Wh
14:55:17.756,0000004208 Wh
14:55:18.756,0000004208 Wh
14:55:19.753,0000004208 Wh
14:55:20.756,0000004208 Wh
14:55:22.088,0000004208 Wh
14:55:22.756,0000004208 Wh
14:55:23.771,0000004208 Wh
14:55:24.758,0000004208 Wh
14:55:25.766,0000004208 Wh
14:55:27.096,0000004208 Wh
14:55:27.768,0000004208 Wh
14:55:28.782,0000004208 Wh
14:55:29.766,0000004208 Wh
14:55:30.776,0000004208 Wh
14:55:32.102,0000004208 Wh
14:55:32.776,0000004208 Wh
14:55:33.778,0000004208 Wh
14:55:34.776,0000004208 Wh
14:55:35.781,0000004208 Wh
14:55:37.111,0000004208 Wh
14:55:37.776,0000004208 Wh
14:55:38.792,0000004208 Wh
14:55:39.798,0000004208 Wh
14:55:40.790,0000004208 Wh
14:55:42.116,0000004208 Wh
14:55:42.787,0000004208 Wh
14:55:43.796,0000004208 Wh
14:55:44.806,0000004208 Wh
14:55:45.799,0000004208 Wh
14:55:47.126,0000004208 Wh
14:55:47.806,0000004208 Wh
14:55:48.806,0000004208 Wh
14:55:49.811,0000004208 Wh
14:55:51.142,0000004208 Wh
14:55:51.811,0000004208 Wh
14:55:52.821,0000004209 Wh
14:55:53.806,0000004209 Wh
14:55:54.820,0000004209 Wh
14:55:55.810,0000004209 Wh
14:55:57.156,0000004209 Wh
14:55:57.826,0000004209 Wh
14:55:58.816,0000004209 Wh
14:55:59.826,0000004209 Wh
14:56:00.836,0000004209 Wh
14:56:02.156,0000004209 Wh
14:56:02.836,0000004209 Wh
14:56:03.839,0000004209 Wh
14:56:04.829,0000004209 Wh
14:56:05.846,0000004209 Wh
14:56:07.171,0000004209 Wh
14:56:07.846,0000004209 Wh
14:56:08.846,0000004209 Wh
14:56:09.846,0000004209 Wh
14:56:10.846,0000004209 Wh
14:56:12.176,0000004209 Wh
14:56:12.846,0000004209 Wh
14:56:13.856,0000004209 Wh
14:56:14.866,0000004209 Wh
14:56:15.856,0000004209 Wh
14:56:17.186,0000004209 Wh
14:56:17.858,0000004209 Wh
14:56:18.856,0000004209 Wh
14:56:19.856,0000004209 Wh
14:56:20.856,0000004209 Wh
14:56:22.186,0000004209 Wh
14:56:22.856,0000004209 Wh
14:56:23.869,0000004209 Wh
14:56:24.876,0000004209 Wh
14:56:25.871,0000004209 Wh
14:56:27.196,0000004209 Wh
14:56:27.867,0000004209 Wh
14:56:28.876,0000004209 Wh
14:56:29.886,0000004209 Wh
14:56:30.876,0000004209 Wh
14:56:32.206,0000004209 Wh
14:56:32.894,0000004209 Wh
14:56:33.886,0000004209 Wh
14:56:34.901,0000004209 Wh
14:56:35.886,0000004209 Wh
14:56:37.230,0000004210 Wh
14:56:37.901,0000004210 Wh
14:56:38.886,0000004210 Wh
14:56:39.900,0000004210 Wh
14:56:40.906,0000004210 Wh
14:56:42.236,0000004210 Wh
14:56:42.911,0000004210 Wh
14:56:43.901,0000004210 Wh
14:56:44.906,0000004210 Wh
14:56:45.916,0000004210 Wh
14:56:47.246,0000004210 Wh
14:56:47.916,0000004210 Wh
14:56:48.906,0000004210 Wh
14:56:49.906,0000004210 Wh
14:56:50.919,0000004210 Wh
14:56:52.254,0000004210 Wh
14:56:52.921,0000004210 Wh
14:56:53.926,0000004210 Wh
14:56:54.922,0000004210 Wh
14:56:55.931,0000004210 Wh
14:56:57.256,0000004210 Wh
14:56:57.926,0000004210 Wh
14:56:58.936,0000004210 Wh
14:56:59.926,0000004210 Wh
14:57:00.936,0000004210 Wh
14:57:02.259,0000004210 Wh
14:57:02.936,0000004210 Wh
14:57:03.945,0000004210 Wh
14:57:04.936,0000004210 Wh
14:57:05.939,0000004210 Wh
14:57:07.272,0000004210 Wh
14:57:07.938,0000004210 Wh
14:57:08.951,0000004210 Wh
14:57:09.956,0000004210 Wh
14:57:10.946,0000004210 Wh
14:57:12.276,0000004210 Wh
14:57:12.951,0000004210 Wh
14:57:13.957,0000004210 Wh
14:57:14.966,0000004210 Wh
14:57:15.956,0000004210 Wh
14:57:17.286,0000004210 Wh
14:57:17.967,0000004210 Wh
14:57:18.966,0000004210 Wh
14:57:19.974,0000004210 Wh
14:57:20.966,0000004211 Wh
14:57:22.291,0000004211 Wh
14:57:22.976,0000004211 Wh
14:57:23.973,0000004211 Wh
14:57:24.981,0000004211 Wh
14:57:25.966,0000004211 Wh
14:57:27.316,0000004211 Wh
14:57:27.986,0000004211 Wh
14:57:28.979,0000004211 Wh
14:57:29.986,0000004211 Wh
14:57:30.977,0000004211 Wh
14:57:32.316,0000004211 Wh
14:57:32.996,0000004211 Wh
14:57:33.987,0000004211 Wh
14:57:34.991,0000004211 Wh
14:57:35.996,0000004211 Wh
14:57:37.326,0000004211 Wh
14:57:37.996,0000004211 Wh
14:57:39.006,0000004211 Wh
14:57:39.998,0000004211 Wh
14:57:41.006,0000004211 Wh
14:57:42.337,0000004211 Wh
14:57:43.007,0000004211 Wh
14:57:44.016,0000004211 Wh
14:57:45.008,0000004211 Wh
14:57:46.016,0000004211 Wh
14:57:47.344,0000004211 Wh
14:57:48.016,0000004211 Wh
14:57:49.021,0000004211 Wh
14:57:50.016,0000004211 Wh
14:57:51.023,0000004211 Wh
14:57:52.347,0000004211 Wh
14:57:53.016,0000004211 Wh
14:57:54.031,0000004211 Wh
14:57:55.020,0000004211 Wh
14:57:56.028,0000004211 Wh
14:57:57.356,0000004211 Wh
14:57:58.028,0000004211 Wh
14:57:59.037,0000004211 Wh
14:58:00.046,0000004211 Wh
14:58:01.036,0000004211 Wh
14:58:02.366,0000004211 Wh
14:58:03.046,0000004211 Wh
14:58:04.046,0000004211 Wh
14:58:05.046,0000004212 Wh
14:58:06.046,0000004212 Wh
14:58:07.366,0000004212 Wh
14:58:08.056,0000004212 Wh
14:58:09.051,0000004212 Wh
